date_time,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j
2021-01-01T00:00:00.0,7.810330753531005,8.207126720049448,3.7,24.946819914339265,68.5748597592887,5.773202338628121,19.81629362774425,16.516738889263088,17.467695599288405,21.568428450301315
2021-01-01T01:00:00.0,5.140247254268013,8.498593418777102,3.56,26.98727983255157,61.74358425576635,5.8784038997988475,16.371804051748803,13.505840389925503,18.37396150935827,21.548732884258513
2021-01-01T02:00:00.0,5.777571719891319,8.71799075760069,3.27,25.667130516184876,53.03867388879827,4.669444972326012,14.948215414894253,10.524325980129,16.398441638787407,20.681701109010007
2021-01-01T03:00:00.0,4.2200000477123085,8.539999937505298,2.84,25.227002632176152,55.299999903618904,5.200000083362987,12.13000014582735,10.800000082516222,19.219999777429962,20.12000004480975
2021-01-01T04:00:00.0,4.220000049019011,8.53999993579375,2.74,25.227002632176152,55.29999990097931,5.200000085646058,12.13000014982114,10.800000084776103,19.21999977133441,20.12000004603696
2021-01-01T05:00:00.0,4.220000048001434,8.539999937126597,2.72,25.227002632176152,55.29999990303486,5.2000000838681455,12.130000146711026,10.80000008301625,19.21999977608124,20.120000045081287
2021-01-01T06:00:00.0,4.220000043304831,8.539999943278318,2.87,25.227002632176152,55.29999991252222,5.200000075662237,12.130000132356384,10.800000074893694,19.219999797990116,20.120000040670398
2021-01-01T07:00:00.0,7.316341195696861,8.510372844959338,3.08,26.43395404678222,54.49279657353047,5.492893756771117,14.121241194233775,11.305263451435017,18.94089764091495,21.005951460016256
2021-01-01T08:00:00.0,9.128358422993058,9.276538202813711,3.87,30.80563602818241,66.100474755401,6.3142910043742,18.242612677851017,14.785668539650091,19.372046920211304,22.36700768812189
2021-01-01T09:00:00.0,7.397522194319512,10.4267518897475,4.82,40.53557210677702,93.74354342032208,8.019361657170988,25.90761829109876,23.06353963089289,21.94584870910264,28.19228025962927
2021-01-01T10:00:00.0,12.010464511684152,11.387964844722562,5.869999999999999,40.575461407472986,94.65836615390333,6.926015870130624,29.61593776197289,25.90115289023711,22.704529836795885,31.41626833672767
2021-01-01T11:00:00.0,11.023331298366292,11.723453608247423,5.959999999999999,34.22824500929727,80.68825553450515,6.265056881963586,25.580025791369287,22.07474226804124,18.814304123711338,26.582417757195152
2021-01-01T12:00:00.0,11.346555704760679,11.675611359066973,5.66,38.080233406182586,85.48472252200003,7.38681139976027,26.089782099836153,22.75717985255101,20.860577808004145,27.63714686364188
2021-01-01T13:00:00.0,7.243600000000001,10.5976,5.25,40.13629580905845,96.1204,8.415446723735412,27.598401840711357,22.818799999999996,20.46194063133226,26.082446043165472
2021-01-01T14:00:00.0,7.683907103715025,10.515360949330903,4.93,44.27757063230317,94.30820148668843,7.97839724824098,26.882121293751943,23.320180521603007,23.070608055316768,28.127327339773736
2021-01-01T15:00:00.0,10.9487701632744,9.834845908667662,4.4,35.04001043307379,81.33104690440902,9.10316188226745,21.787159965030426,21.608205841615035,23.630758057016795,28.716402068474192
2021-01-01T16:00:00.0,8.75,10.15,4.37,31.43,82.73,7.593338175140616,20.86,19.1,18.097272727272728,22.21
2021-01-01T17:00:00.0,5.45,9.17,4.58,37.6,81.45,7.736143570819568,22.3,18.25,19.67316647950903,21.58
2021-01-01T18:00:00.0,5.86,9.18,4.501875,39.19,80.66,7.780285009827974,23.880000000000003,18.54,19.76382151693638,22.48
2021-01-01T19:00:00.0,5.84,9.7,4.57,40.9,83.85,7.89800527529982,23.75,19.66,19.911120397169803,23.43
2021-01-01T20:00:00.0,5.83,9.85,4.809999999999999,38.75999999999999,85.88,7.885350402791285,25.03,19.49,20.036245356418586,24.16
2021-01-01T21:00:00.0,5.809999999999999,9.3,4.46,34.63,79.68,7.644188400919933,22.55,17.96,19.622325707376007,22.23
2021-01-01T22:00:00.0,4.81,8.93,3.76,32.56,73.17,6.987625161921053,19.37,15.38,19.385516280630767,19.98
2021-01-01T23:00:00.0,4.41,8.56,3.4700000000000006,31.74,68.37,6.8437931225228805,18.83,14.72,19.51336707416456,19.53
2021-01-02T00:00:00.0,3.36,8.16,3.1799999999999997,30.05,63.15,6.320864508564069,16.83,13.68,17.55823214293443,18.86
2021-01-02T01:00:00.0,2.38,7.87,2.92,27.24,58.53,7.360496677308685,15.43,11.69,19.900323161621955,20.34
2021-01-02T02:00:00.0,3.24,7.76,2.79,27.08,54.75,7.605336021937575,13.01,11.15,19.94429266767839,18.75
2021-01-02T03:00:00.0,3.14,7.66,2.6,26.69,54.35,7.597226198970416,12.55,10.83,19.92327469788421,18.08
2021-01-02T04:00:00.0,2.79,7.74,2.62,26.08,54.24,7.587374421303453,11.95,10.62,19.916277836148684,18.75
2021-01-02T05:00:00.0,3.8,7.86,2.75,23.65,55.12,7.548749653377064,12.7,11.21,19.909612489228394,19.48
2021-01-02T06:00:00.0,4.58,8.14,2.9,25.27,59.16,7.541684438898568,13.73,12.71,19.775521117769376,20.89
2021-01-02T07:00:00.0,5.84,8.89,3.5700000000000003,31.16,67.11,6.855321992611449,17.44,14.73,19.73519933284475,21.84
2021-01-02T08:00:00.0,6.69,9.99,4.32,40.86,81.16,7.902384563099327,21.37,19.65,19.95002448212952,23.77
2021-01-02T09:00:00.0,7.88,11.08,5.15,46.8,95.97,8.273742432613503,29.32,24.24,21.894678279785992,25.62
2021-01-02T10:00:00.0,8.08,11.15,6.119999999999999,49.22999999999999,105.06,8.490263020399098,32.02,25.02,22.11496803456402,26.91
2021-01-02T11:00:00.0,7.61,10.99,5.77,47.287407407407414,103.48,8.445987386020292,31.24,24.58,22.001362871039298,27.68
2021-01-02T12:00:00.0,7.05,10.8,5.85,44.58,101.15,8.271519770924598,31.27,25.16,21.974637608414582,26.56
2021-01-02T13:00:00.0,6.74,10.53,5.25,44.17,97.19,8.321611388384554,28.97,23.4,21.51384774315259,25.9
2021-01-02T14:00:00.0,6.4,10.11,4.78,42.46,89.36,8.1407572457784,25.32,20.64,19.818854163484616,23.33
2021-01-02T15:00:00.0,5.809999999999999,9.67,4.52,40.15,83.81,7.885903410742727,23.9,19.65,19.931560808473005,23.89
2021-01-02T16:00:00.0,5.08,9.83,4.49,41.29,83.01,7.904081457254898,22.96,18.95,19.93413371108273,23.65
2021-01-02T17:00:00.0,4.97,9.35,4.58,36.73,82.11,7.782030423023751,24.85,19.38,20.164873872243348,25.2453733922058
2021-01-02T18:00:00.0,4.51,9.37,4.43,38.79,83.91,7.828565660524152,23.11,19.63,19.84156009145367,23.01
2021-01-02T19:00:00.0,5.88,9.97,4.63,37.09,86.15,7.864693718380249,24.77,19.98,20.097911856647123,23.13
2021-01-02T20:00:00.0,6.19,9.88,4.77,38.54,86.62,7.903519150667576,25.09,20.44,20.02569786113107,23.13
2021-01-02T21:00:00.0,5.54,9.11,4.23,33.1,80.58,7.641224591083053,22.42,18.8,19.558900650741464,22.72
2021-01-02T22:00:00.0,5.01,9.12,3.84,35.54,72.94,7.08387169174731,20.26,15.5,19.09103933584136,22.18
2021-01-02T23:00:00.0,4.51,8.73,3.9,34.18,69.51,6.876876566900074,18.68,15.02,19.637704901161545,21.31
2021-01-03T00:00:00.0,4.15,8.16,3.31,31.63,63.92,6.35864479057447,16.61,12.86,17.77989380295932,20.6
2021-01-03T01:00:00.0,3.75,7.93,2.91,28.67,57.71,7.592973952149453,13.83,12.58,19.943764146320206,19.17
2021-01-03T02:00:00.0,3.69,7.75,2.8,23.01,55.47,7.542178669665333,12.8,11.24,19.89188951784408,19.79
2021-01-03T03:00:00.0,3.57,7.64,2.68,23.46,53.83,7.554131908114608,12.34,10.95,19.901815129870958,18.7
2021-01-03T04:00:00.0,3.59,7.6,2.58,22.14,53.97,7.5467395264499,12.17,10.71,19.905637587475887,19.12
2021-01-03T05:00:00.0,3.71,7.79,2.68,28.66,55.76,7.664734262816124,12.26,11.07,20.042267614652282,19.28
2021-01-03T06:00:00.0,4.26,7.77,2.94,30.05,58.07,7.716611279799488,13.66,11.5,20.06388576533609,20.56
2021-01-03T07:00:00.0,5.9,8.59,3.6,35.91,66.45,6.810701360091192,16.48,13.73,19.573036274995946,21.48
2021-01-03T08:00:00.0,5.49,10.03,4.59,41.010000000000005,82.35,7.909727085511465,22.66,18.36,19.953392136431745,23.97
2021-01-03T09:00:00.0,7.56,11.54,5.75,51.42999999999999,102.3,8.434126821072972,30.36,23.86,22.15972698069274,27.06
2021-01-03T10:00:00.0,8.14,11.78,6.33,47.45,109.06,8.625263096179422,35.0,26.62,21.92206644624322,26.91
2021-01-03T11:00:00.0,7.79,11.45,6.359999999999999,48.42,106.17,8.515652275758502,33.13,25.22,22.100428773150274,26.92
2021-01-03T12:00:00.0,6.88,11.76,6.08,48.709999999999994,103.93,8.461128847667833,30.960000000000004,24.73,22.06579317060855,27.24
2021-01-03T13:00:00.0,7.43,11.14,5.38,49.67999999999999,98.9,8.319185166920997,28.52,23.56,22.313658151031966,25.91
2021-01-03T14:00:00.0,7.09,9.94,5.37,44.38,91.47,8.308958612079515,26.19,21.3,19.113622484387097,24.63
2021-01-03T15:00:00.0,6.51,9.84,4.73,40.7,85.02,7.916900082817697,24.76,20.11,19.964911669762607,22.57
2021-01-03T16:00:00.0,5.91,9.52,4.609999999999999,38.91,82.99,7.8286165045255425,23.449999999999996,19.58,19.843090593504883,23.07
2021-01-03T17:00:00.0,6.68,9.77,5.04,38.77,84.27,7.883925792808083,23.770000000000003,19.34,20.035188207454823,23.83
2021-01-03T18:00:00.0,6.8,9.97,4.98,39.23,86.69,7.9252777544599216,24.12,20.15,20.01947420798803,23.04
2021-01-03T19:00:00.0,7.27,10.15,4.7,36.6,88.71,7.932832263911532,25.07,19.3,20.197114769217638,23.75
2021-01-03T20:00:00.0,7.33,10.16,4.91,42.1,89.56,8.264094714737517,26.05,19.79,19.46386509831721,24.42
2021-01-03T21:00:00.0,6.49,9.31,4.53,38.92,81.3,7.759331045047913,23.26,17.47,19.705461936927705,22.05
2021-01-03T22:00:00.0,6.04,9.29,3.78,35.04,74.51,7.176544797617914,20.04,17.06,19.012528777263157,22.25
2021-01-03T23:00:00.0,4.72,8.52,3.45,32.99,69.74,6.887484863109783,18.97,14.62,19.631004358641295,20.72
2021-01-04T00:00:00.0,3.96,7.99,3.39,27.120000000000005,62.71,7.114210512470392,15.98,13.58,19.99510989542644,20.11
2021-01-04T01:00:00.0,2.92,7.77,3.02,23.84,57.62,7.5123564193347585,13.32,11.31,19.841160279775018,19.58
2021-01-04T02:00:00.0,3.18,7.7,2.82,24.42,55.04,7.5625124178724334,11.92,10.31,19.89285927164535,18.36
2021-01-04T03:00:00.0,3.63,7.67,2.73,25.82,53.98,7.578483470919846,11.94,10.67,19.89675206791464,18.69
2021-01-04T04:00:00.0,3.17,7.66,2.79,28.54,54.54,7.669779075242622,11.99,10.66,20.11023211633369,19.73
2021-01-04T05:00:00.0,4.04,7.89,2.96,29.87,56.64,7.710958479600241,12.89,11.43,20.071397622163452,20.05
2021-01-04T06:00:00.0,5.3,8.77,3.6,34.36,65.96,6.798934913867047,16.11,14.06,19.54363294921429,22.6
