Time,Series1,Series2
1,3.7,2.6462291169451078
2,3.27,2.6462291169451078
3,2.74,2.6462291169451078
4,3.87,4.934851851851852
5,5.87,4.403138401559454
6,4.93,4.461474514563107
7,4.57,4.461474514563107
8,3.47,3.2501185770750993
9,3.18,2.6462291169451078
10,2.92,2.6462291169451078
11,3.57,4.934851851851852
12,6.12,5.500707547169812
13,4.58,4.461474514563107
14,4.77,4.461474514563107
15,4.23,4.461474514563107
16,3.84,3.5917004048582997
17,3.9,3.2501185770750993
18,2.8,2.6462291169451078
19,2.94,3.8624812030075173
20,6.33,5.500707547169812
21,5.37,4.461474514563107
22,4.98,4.461474514563107
23,4.7,4.461474514563107
24,2.73,2.6462291169451078
25,2.96,2.7484883720930227
26,4.61,4.934851851851852
27,4.92,4.934851851851852
28,4.92,4.851968085106384
29,5.17,4.403138401559454
30,4.2,4.461474514563107
31,4.83,4.461474514563107
32,4.7,4.461474514563107
33,4.56,4.461474514563107
34,2.66,2.6462291169451078
35,4.98,4.403138401559454
36,4.73,4.461474514563107
37,4.64,4.461474514563107
38,2.67,2.6462291169451078
39,2.6,2.6462291169451078
40,5.57,4.851968085106384
41,6.05,4.403138401559454
42,5.55,4.403138401559454
43,5.45,4.461474514563107
44,4.78,4.461474514563107
45,3.15,2.6462291169451078
46,3.98,3.8624812030075173
47,3.87,4.461474514563107
48,4.59,4.461474514563107
49,3.47,3.2501185770750993
50,2.74,2.6462291169451078
51,4.93,4.934851851851852
52,4.49,4.403138401559454
53,4.59,4.461474514563107
54,4.59,4.461474514563107
55,4.03,4.461474514563107
56,4.6,4.461474514563107
57,3.18,2.6462291169451078
58,2.83,2.6462291169451078
59,2.69,2.6462291169451078
60,2.65,2.6462291169451078
61,2.95,2.7484883720930227
62,4.81,4.934851851851852
63,5.74,5.679880952380953
64,5.91,5.500707547169812
65,4.59,4.461474514563107
66,3.86,3.5917004048582997
67,3.63,3.2501185770750993
68,2.86,2.6462291169451078
69,2.93,2.7484883720930227
70,3.39,4.934851851851852
71,5.48,5.679880952380953
72,4.79,4.461474514563107
73,5.07,4.461474514563107
74,5.05,4.461474514563107
75,3.49,3.2501185770750993
76,2.66,2.6462291169451078
77,4.33,4.461474514563107
78,4.45,4.461474514563107
79,4.95,4.461474514563107
80,3.46,2.6462291169451078
81,3.01,2.6462291169451078
82,5.07,4.934851851851852
83,4.39,4.403138401559454
84,4.42,4.461474514563107
85,4.22,4.461474514563107
86,4.92,4.461474514563107
87,3.05,2.6462291169451078
88,3.04,2.7484883720930227
89,5.25,4.934851851851852
90,5.09,4.851968085106384
91,4.64,4.461474514563107
92,4.31,4.461474514563107
93,4.37,4.461474514563107
94,5.13,4.461474514563107
95,4.91,4.461474514563107
96,4.56,4.461474514563107
97,5.42,4.934851851851852
98,4.95,4.851968085106384
99,4.48,4.461474514563107
100,4.2,4.461474514563107
101,4.09,4.461474514563107
102,4.71,4.461474514563107
103,3.01,2.6462291169451078
104,3.08,2.7484883720930227
105,4.64,4.403138401559454
106,4.65,4.461474514563107
107,4.7,4.461474514563107
108,3.49,3.2501185770750993
109,3.22,2.6462291169451078
110,3.03,2.6462291169451078
111,4.22,4.934851851851852
112,5.24,4.934851851851852
113,5.5,5.500707547169812
114,4.93,4.461474514563107
115,4.53,4.461474514563107
116,4.99,4.461474514563107
117,4.25,4.461474514563107
118,3.3,2.6462291169451078
119,2.69,2.6462291169451078
120,2.9,2.7484883720930227
121,3.69,4.934851851851852
122,4.72,4.934851851851852
123,5.63,5.679880952380953
124,5.07,4.461474514563107
125,4.65,4.461474514563107
126,5.14,4.461474514563107
127,2.78,2.6462291169451078
128,4.57,4.403138401559454
129,4.67,4.403138401559454
130,2.91,2.6462291169451078
131,4.74,4.403138401559454
132,4.6,4.461474514563107
133,4.08,4.461474514563107
134,4.96,4.461474514563107
135,4.72,4.461474514563107
136,3.25,2.6462291169451078
137,2.86,2.6462291169451078
138,2.78,2.6462291169451078
139,3.05,2.7484883720930227
140,5.36,4.934851851851852
141,5.01,4.934851851851852
142,4.87,4.851968085106384
143,4.32,4.461474514563107
144,3.98,3.5917004048582997
145,3.5,3.2501185770750993
146,3.35,2.6462291169451078
147,2.83,2.6462291169451078
148,2.73,2.6462291169451078
149,4.91,4.934851851851852
150,4.89,4.851968085106384
151,4.53,4.403138401559454
152,4.29,4.461474514563107
153,4.06,4.461474514563107
154,4.73,4.461474514563107
155,4.57,4.461474514563107
156,3.6,3.2501185770750993
157,2.86,2.6462291169451078
158,4.77,4.934851851851852
159,4.71,4.403138401559454
160,4.48,4.461474514563107
161,3.99,3.2501185770750993
162,3.24,2.6462291169451078
163,2.92,2.6462291169451078
164,4.98,4.461474514563107
165,3.87,3.2501185770750993
166,2.72,2.6462291169451078
167,2.63,2.6462291169451078
168,2.84,2.7484883720930227
169,3.06,3.8624812030075173
170,3.73,4.934851851851852
171,5.93,5.500707547169812
172,5.26,4.461474514563107
173,4.43,4.461474514563107
174,4.92,4.461474514563107
175,2.64,2.6462291169451078
176,4.84,4.403138401559454
177,4.73,4.461474514563107
178,4.43,4.461474514563107
179,2.81,2.6462291169451078
180,2.96,2.7484883720930227
181,3.94,3.8624812030075173
182,4.9,4.403138401559454
183,4.44,4.403138401559454
184,4.99,4.403138401559454
185,4.68,4.461474514563107
186,4.24,4.461474514563107
187,4.96,4.461474514563107
188,4.33,4.461474514563107
189,3.75,3.5917004048582997
190,3.11,2.7484883720930227
191,5.09,4.934851851851852
192,4.97,4.851968085106384
193,5.03,4.403138401559454
194,4.15,4.461474514563107
195,3.86,3.5917004048582997
196,3.53,3.2501185770750993
197,2.96,2.6462291169451078
198,2.64,2.6462291169451078
199,5.43,4.934851851851852
200,4.21,4.403138401559454
201,4.02,4.461474514563107
202,4.32,4.461474514563107
203,4.47,4.461474514563107
204,3.48,2.6462291169451078
205,3.14,2.7484883720930227
206,4.05,3.8624812030075173
207,4.69,4.851968085106384
208,4.21,4.461474514563107
209,4.56,4.461474514563107
210,4.77,4.461474514563107
211,3.18,3.8624812030075173
212,4.07,4.934851851851852
213,4.63,4.461474514563107
214,2.9,2.6462291169451078
215,2.92,2.7484883720930227
216,4.66,4.934851851851852
217,5.3,4.461474514563107
